Keypoint	mass	cgx	cgy	cgz	Ixx	Iyy	Izz	Ixy	Ixz	Iyz
1	0.015952605	-0.000983721	0.00690006	-3.14678E-05	4.77701E-07	9.1917E-06	9.23338E-06	5.42845E-08	9.97474E-09	4.48613E-10
2	0.020678835	0.000903119	-0.001875011	-1.49774E-05	2.08435E-06	1.09722E-05	1.28287E-05	-4.29591E-08	2.44339E-09	-4.02759E-10
3	0.020682855	0.000913246	-0.001880191	-1.49765E-05	2.08701E-06	1.09789E-05	1.2838E-05	-4.66242E-08	2.45177E-09	-4.01872E-10
4	0.020682848	0.000913186	-0.001880212	-1.50172E-05	2.08701E-06	1.09789E-05	1.2838E-05	-4.6624E-08	2.45763E-09	-4.0978E-10
5	0.020682878	0.000913141	-0.00188023	-1.50375E-05	2.08701E-06	1.09789E-05	1.28381E-05	-4.66187E-08	2.45963E-09	-4.05576E-10
6	0.0206829	0.000913144	-0.001880212	-1.50375E-05	2.08702E-06	1.09789E-05	1.28381E-05	-4.66209E-08	2.45963E-09	-4.05572E-10
7	0.020682862	0.000913147	-0.001880215	-1.50377E-05	2.08701E-06	1.09789E-05	1.2838E-05	-4.66208E-08	2.45978E-09	-4.0558E-10
8	0.020682882	0.000913145	-0.00188023	-1.50378E-05	2.08701E-06	1.09789E-05	1.28381E-05	-4.66201E-08	2.45992E-09	-4.0559E-10
9	0.020682883	0.000913144	-0.001880229	-1.5038E-05	2.08701E-06	1.09789E-05	1.28381E-05	-4.66201E-08	2.46005E-09	-4.05596E-10
10	0.020682883	0.000913143	-0.001880228	-1.50382E-05	2.08701E-06	1.09789E-05	1.28381E-05	-4.66201E-08	2.46019E-09	-4.05603E-10
11	0.020682884	0.000913142	-0.001880227	-1.50384E-05	2.08701E-06	1.09789E-05	1.28381E-05	-4.66202E-08	2.46033E-09	-4.0561E-10
12	0.020682884	0.000913141	-0.001880227	-1.50385E-05	2.08701E-06	1.09789E-05	1.28381E-05	-4.66202E-08	2.46048E-09	-4.05617E-10
13	0.020682885	0.000913141	-0.001880226	-1.50387E-05	2.08701E-06	1.09789E-05	1.28381E-05	-4.66202E-08	2.46061E-09	-4.05623E-10
14	0.020682885	0.000913141	-0.001880225	-1.50387E-05	2.08701E-06	1.09789E-05	1.28381E-05	-4.66202E-08	2.46062E-09	-4.05623E-10
15	0.025447968	-0.000811097	0.001342955	-3.00392E-05	1.68655E-06	1.45515E-05	1.55829E-05	-2.55762E-07	1.47231E-08	-2.22504E-09
16	0.037055893	0.004875715	0.003032387	-0.000139846	8.59855E-07	0.000122188	0.000122585	2.92462E-07	1.30172E-07	-7.12802E-09
