Keypoint	mass	cgx	cgy	cgz	Ixx	Iyy	Izz	Ixy	Ixz	Iyz
1	0.019118611	-6.09116E-06	0.006442847	-2.71488E-05	6.63182E-07	1.21417E-05	1.20938E-05	1.29099E-08	9.44646E-09	2.61327E-10
2	0.020678814	0.000903114	-0.001875011	-1.4896E-05	2.08435E-06	1.09721E-05	1.28287E-05	-4.29591E-08	2.45046E-09	-4.0502E-10
3	0.020682834	0.000913241	-0.00188019	-1.49442E-05	2.08701E-06	1.09788E-05	1.2838E-05	-4.66241E-08	2.45271E-09	-4.09114E-10
4	0.020682827	0.000913181	-0.001880211	-1.50172E-05	2.087E-06	1.09788E-05	1.2838E-05	-4.66239E-08	2.45762E-09	-4.0978E-10
5	0.020682857	0.000913136	-0.00188023	-1.50375E-05	2.08701E-06	1.09789E-05	1.2838E-05	-4.66187E-08	2.45963E-09	-4.05575E-10
6	0.020682879	0.000913139	-0.001880211	-1.50375E-05	2.08702E-06	1.09789E-05	1.28381E-05	-4.66208E-08	2.45963E-09	-4.05572E-10
7	0.02068285	0.000913148	-0.001880205	-1.50377E-05	2.08701E-06	1.09789E-05	1.2838E-05	-4.66181E-08	2.45978E-09	-4.05577E-10
8	0.020682853	0.000913134	-0.001880222	-1.50379E-05	2.08701E-06	1.09789E-05	1.2838E-05	-4.66179E-08	2.45991E-09	-4.05587E-10
9	0.020682862	0.000913139	-0.001880228	-1.5038E-05	2.08701E-06	1.09789E-05	1.2838E-05	-4.66201E-08	2.46005E-09	-4.05596E-10
10	0.020682862	0.000913138	-0.001880228	-1.50382E-05	2.08701E-06	1.09789E-05	1.2838E-05	-4.66201E-08	2.46019E-09	-4.05603E-10
11	0.020682863	0.000913137	-0.001880227	-1.50384E-05	2.08701E-06	1.09789E-05	1.2838E-05	-4.66201E-08	2.46033E-09	-4.0561E-10
12	0.020682863	0.000913137	-0.001880226	-1.50386E-05	2.08701E-06	1.09789E-05	1.2838E-05	-4.66201E-08	2.46047E-09	-4.05617E-10
13	0.020682864	0.000913136	-0.001880225	-1.50387E-05	2.08701E-06	1.09789E-05	1.2838E-05	-4.66202E-08	2.46061E-09	-4.05623E-10
14	0.020682864	0.000913136	-0.001880225	-1.50387E-05	2.08701E-06	1.09789E-05	1.2838E-05	-4.66202E-08	2.46062E-09	-4.05623E-10
15	0.025447952	-0.000811101	0.001342957	-3.00392E-05	1.68655E-06	1.45515E-05	1.55829E-05	-2.55762E-07	1.47231E-08	-2.22503E-09
16	0.043155893	0.005092725	0.00328783	-0.000143642	8.76965E-07	0.0001222	0.000122614	3.06994E-07	1.29956E-07	-7.38221E-09
