x, y, z
0.00000000e00, 0.00000000e+00, 0.00000000e00
0.00000000e00, 3.82499984e-02, 0.00000000e00
0.00000000e00, 7.64999976e-02, 0.00000000e00
0.00000000e00, 1.14749997e-01, 0.00000000e00
0.00000000e00, 1.52999996e-01, 0.00000000e00
0.00000000e00, 1.91249995e-01, 0.00000000e00
0.00000000e00, 2.29499995e-01, 0.00000000e00
0.00000000e00, 2.67749994e-01, 0.00000000e00
0.00000000e00, 3.05999993e-01, 0.00000000e00
0.00000000e00, 3.44249993e-01, 0.00000000e00
0.00000000e00, 3.82499992e-01, 0.00000000e00
0.00000000e00, 4.20749991e-01, 0.00000000e00
0.00000000e00, 4.58999990e-01, 0.00000000e00
0.00000000e00, 4.97249990e-01, 0.00000000e00
0.00000000e00, 5.30718683e-01, 0.00000000e00
0.00000000e00, 5.49843728e-01, 0.00000000e00
