Element	K11	K22	K33	K44	K12	K13	K14	K23	K24	K34
1	9794492.59	7.58259714	5.24743501	3317.57932	-0.569828967	-1.37141817	54485.5583	0.093308003	0.015291891	-0.11714116
2	9666690.55	7.58259714	4.50448461	3278.62894	-0.569828967	-1.85955625	53535.4102	0.093308003	0.015291891	-0.112442858
3	9647646.96	7.58259714	4.47822861	3282.87728	-0.569828967	-2.03745676	53207.1297	0.093308003	0.015291891	-0.115192612
4	9648770.85	7.58259714	4.47438433	3286.53821	-0.569828967	-2.36861943	53120.4588	0.093308003	0.015291891	-0.118950224
5	9649966.12	6.51183018	4.47481272	3288.81887	-0.244730557	-2.34621942	53068.8769	4.2266E-05	0.00394788	-0.120649484
6	9650620.48	6.51183018	4.47492882	3290.12279	-0.244730557	-2.33093397	53037.3657	4.2266E-05	0.00394788	-0.121389557
7	9650947.02	6.51183018	4.47492903	3290.7182	-0.244730557	-2.32194657	53022.4268	4.2266E-05	0.00394788	-0.121682056
8	9650920.85	6.51183018	4.47492905	3290.71311	-0.244730557	-2.31978268	53020.9363	4.2266E-05	0.00394788	-0.121652571
9	9650608.78	6.51583594	4.47492889	3290.15111	0.555131815	-2.32431249	53033.184	-0.001020123	-0.008696004	-0.121317479
10	9649975.19	6.51583594	4.47488638	3288.92576	0.555131815	-2.33594699	53060.3697	-0.001020123	-0.008696004	-0.120584487
11	9648871.83	6.51583594	4.47471764	3286.8598	0.555131815	-2.35794054	53106.1305	-0.001020123	-0.008696004	-0.119291993
12	9647158	6.51583594	4.47618354	3283.51136	0.555131815	-2.4228299	53175.5122	-0.001020123	-0.008696004	-0.11718496
13	9653447.06	7.11892627	4.48916524	3279.04566	1.14679646	-2.63402308	53360.3082	-0.080978073	0.010127797	-0.114807975
14	9699214.16	7.11892627	4.54819972	3271.6443	1.14679646	-2.79279201	54101.6226	-0.080978073	0.010127797	-0.116130851
15	10019632.8	17.3730728	4.77037999	3373.72291	6.1133995	-2.28331802	54451.9115	-1.39455813	0.424981724	-0.114249441
