Element	K11	K22	K33	K44	K12	K13	K14	K23	K24	K34
1	9851914.16	7.28013126	4.59193373	3318.22631	-0.604162161	-2.39827937	54386.6231	0.106725354	0.016786653	-0.112917634
2	9665373.71	7.28013126	4.44735598	3274.49917	-0.604162161	-2.69718427	53579.6828	0.106725354	0.016786653	-0.110878041
3	9645535.81	7.28013126	4.42761615	3279.55678	-0.604162161	-2.03147015	53232.752	0.106725354	0.016786653	-0.113194049
4	9646901.38	7.28013126	4.42434873	3283.84879	-0.604162161	-2.37368676	53138.1931	0.106725354	0.016786653	-0.116841835
5	9648280.22	6.44680609	4.42455633	3286.6747	-0.242844851	-2.33956497	53079.7236	-4.76189E-06	0.004298149	-0.119173695
6	9649083.8	6.44680609	4.42464442	3288.38562	-0.242844851	-2.31988042	53043.1528	-4.76189E-06	0.004298149	-0.120352449
7	9649500.7	6.44680609	4.42465	3289.23874	-0.242844851	-2.30944531	53024.6333	-4.76189E-06	0.004298149	-0.12092338
8	9649564.66	6.44680609	4.42464493	3289.37122	-0.242844851	-2.30779093	53022.0042	-4.76189E-06	0.004298149	-0.121004612
9	9649297.56	6.45076354	4.42464464	3288.79933	0.596358415	-2.31497632	53034.7928	-0.001047135	-0.010080845	-0.120618933
10	9648617.98	6.45076354	4.42460298	3287.40208	0.596358415	-2.33200274	53064.1563	-0.001047135	-0.010080845	-0.119687326
11	9647480.89	6.45076354	4.42441646	3285.02571	0.596358415	-2.36074694	53113.9926	-0.001047135	-0.010080845	-0.117981186
12	9645703.42	6.45076354	4.42583965	3281.30295	0.596358415	-2.43794827	53190.4415	-0.001047135	-0.010080845	-0.115393694
13	9651937.45	7.04835928	4.43874113	3276.26813	1.31607952	-2.67633554	53382.5388	-0.081077133	0.01049461	-0.112769142
14	9697635.06	7.04835928	4.49851113	3268.31777	1.31607952	-2.84056139	54132.0885	-0.081077133	0.01049461	-0.114180638
15	10017667	17.16135	4.71030765	3371.07386	7.59417629	-2.25638237	54468.8584	-1.40414551	0.497322141	-0.106233831
